,name,kana,romanized
211,岡田,おかだ,okada
212,中井,なかい,nakai
213,宇野,うの,uno
214,川島,かわしま,kawashima
215,深川,ふかがわ,fukagawa
216,関,せき,seki
217,舘野,たての,tateno
218,竹村,たけむら,takemura
219,北山,きたやま,kitayama
220,佐伯,さえき,saeki
221,片桐,かたぎり,katagiri
222,菊地,きくち,kikuchi
223,西川,にしかわ,nishikawa
224,深谷,ふかや,fukaya
225,木村,きむら,kimura
226,土屋,つちや,tsuchiya
227,渡邊,わたなべ,watanabe
228,島村,しまむら,shimamura
229,吉村,よしむら,yoshimura
230,副島,そえじま,soejima
231,角田,つのだ,tsunoda
232,園田,そのだ,sonoda
233,村上,むらかみ,murakami
234,椎名,しいな,shiina
235,五味,ごみ,gomi
236,大竹,おおたけ,ootake
237,黒田,くろだ,kuroda
238,藤原,ふじわら,fujiwara
239,原島,はらしま,harashima
240,村本,むらもと,muramoto
241,塩飽,しわく,shiwaku
242,板倉,いたくら,itakura
243,小野田,おのだ,onoda
244,藤田,ふじた,fujita
245,沖田,おきた,okita
246,松岡,まつおか,matsuoka
247,福本,ふくもと,fukumoto
248,酒井,さかい,sakai
249,遠藤,えんどう,endou
250,星野,ほしの,hoshino
251,政井,まさい,masai
252,能勢,のせ,nose
253,中谷,なかたに,nakatani
254,古沢,ふるさわ,furusawa
255,吉井,よしい,yoshii
256,小川,おがわ,ogawa
257,矢部,やべ,yabe
258,渡,わたり,watari
259,西村,にしむら,nishimura
260,谷村,たにむら,tanimura
261,福永,ふくなが,fukunaga
262,大野,おおの,oono
263,市川,いちかわ,ichikawa
264,白川,しらかわ,shirakawa
265,飯田,いいだ,iida
266,西尾,にしお,nishio
267,宮永,みやなが,miyanaga
268,久保田,くぼた,kubota
269,有賀,ありが,ariga
270,田所,たどころ,tadokoro
271,小牧,こまき,komaki
272,白石,しらいし,shiraishi
273,高野,たかの,takano
274,向井,むかい,mukai
275,熊倉,くまくら,kumakura
276,玉井,たまい,tamai
277,松江,まつえ,matsue
278,福田,ふくだ,fukuda
279,笹原,ささはら,sasahara
280,西出,にしで,nishide
281,杉村,すぎむら,sugimura
282,不破,ふわ,fuwa
283,入江,いりえ,irie
284,前川,まえかわ,maekawa
285,尾崎,おざき,ozaki
286,鹿島,かしま,kashima
287,五十嵐,いがらし,igarashi
288,南,みなみ,minami
289,花本,はなもと,hanamoto
290,真田,さなだ,sanada
291,美馬,みま,mima
292,桐山,きりやま,kiriyama
293,本橋,もとはし,motohashi
294,笠原,かさはら,kasahara
295,曽根,そね,sone
296,六車,むぐるま,muguruma
297,村田,むらた,murata
298,本郷,ほんごう,hongou
299,重村,しげむら,shigemura
300,枡田,ますだ,masuda
301,田代,たしろ,tashiro
302,藤沢,ふじさわ,fujisawa
303,大沼,おおぬま,oonuma
304,速水,はやみ,hayami
305,川崎,かわさき,kawasaki
306,青山,あおやま,aoyama
307,砂川,すながわ,sunagawa
308,涌井,わくい,wakui
309,柴田,しばた,shibata
310,坂田,さかた,sakata
311,島,しま,shima
312,松下,まつした,matsushita
313,半田,はんだ,handa
314,澤田,さわだ,sawada
315,宮下,みやした,miyashita
316,金山,かなやま,kanayama
317,葛原,くずはら,kuzuhara
318,古谷,ふるや,furuya
319,大坪,おおつぼ,ootsubo
320,松尾,まつお,matsuo
321,阿部,あべ,abe
322,島崎,しまざき,shimazaki
323,梶本,かじもと,kajimoto
324,峰村,みねむら,minemura
325,西脇,にしわき,nishiwaki
326,津久井,つくい,tsukui
327,国仲,くになか,kuninaka
328,坪井,つぼい,tsuboi
329,谷口,たにぐち,taniguchi
330,中塚,なかつか,nakatsuka
331,鈴川,すずかわ,suzukawa
332,伊達,だて,date
