,name,kana,romanized
909,村瀬,むらせ,murase
910,帆足,ほあし,hoashi
911,奥迫,おくさこ,okusako
912,出田,いでた,ideta
913,上羽,うえば,ueba
914,福澤,ふくざわ,fukuzawa
915,廣瀬,ひろせ,hirose
916,田崎,たさき,tasaki
917,岸本,きしもと,kishimoto
918,奥田,おくだ,okuda
919,矢田部,やたべ,yatabe
920,宮里,みやざと,miyazato
921,中浜,なかはま,nakahama
922,廣田,ひろた,hirota
923,坂井,さかい,sakai
924,水原,みずはら,mizuhara
925,西口,にしぐち,nishiguchi
926,城所,きどころ,kidokoro
927,斎田,さいだ,saida
928,堀,ほり,hori
929,吉水,よしみず,yoshimizu
930,萩本,はぎもと,hagimoto
931,堺,さかい,sakai
932,三澤,みさわ,misawa
933,大和田,おおわだ,oowada
934,有松,ありまつ,arimatsu
935,渡部,わたなべ,watanabe
936,藤吉,ふじよし,fujiyoshi
937,澤崎,さわざき,sawazaki
938,塚原,つかはら,tsukahara
939,田澤,たざわ,tazawa
940,安福,やすふく,yasufuku
941,三枝,さえぐさ,saegusa
942,与儀,よぎ,yogi
943,豊,ゆたか,yutaka
944,桜田,さくらだ,sakurada
945,濱上,はまがみ,hamagami
946,妹尾,せのお,senoo
947,吉元,よしもと,yoshimoto
948,香取,かとり,katori
949,殿村,とのむら,tonomura
950,長井,ながい,nagai
951,浦田,うらた,urata
952,與那覇,よなは,yonaha
953,芝野,しばの,shibano
954,武松,たけまつ,takematsu
955,岡林,おかばやし,okabayashi
956,下林,しもばやし,shimobayashi
957,池上,いけがみ,ikegami
958,戸松,とまつ,tomatsu
959,谷本,たにもと,tanimoto
960,寺元,てらもと,teramoto
961,三野,みの,mino
962,小村,こむら,komura
963,阪本,さかもと,sakamoto
964,志岐,しき,shiki
965,宮沢,みやざわ,miyazawa
966,入澤,いりさわ,irisawa
967,松川,まつかわ,matsukawa
968,沢井,さわい,sawai
969,平賀,ひらが,hiraga
970,瑞慶覧,ずけらん,zukeran
971,熊本,くまもと,kumamoto
972,長崎,ながさき,nagasaki
973,淺田,あさだ,asada
974,今津,いまづ,imazu
975,泉本,いずもと,izumoto
976,加賀谷,かがや,kagaya
977,高桑,たかくわ,takakuwa
978,一瀬,いちのせ,ichinose
979,栗村,くりむら,kurimura
980,神宮,じんぐう,jinguu
981,神村,かみむら,kamimura
982,西島,にしじま,nishijima
983,手代木,てしろぎ,teshirogi
984,飯沼,いいぬま,iinuma
985,國分,こくぶん,kokubun
986,外間,ほかま,hokama
987,白澤,しらさわ,shirasawa
988,川野,かわの,kawano
989,平良,たいら,taira
990,古賀,こが,koga
991,飯島,いいじま,iijima
992,篠田,しのだ,shinoda
993,矢田,やだ,yada
994,榎本,えのもと,enomoto
995,寺本,てらもと,teramoto
996,花井,はない,hanai
997,杉江,すぎえ,sugie
998,永吉,ながよし,nagayoshi
999,里,さと,sato
1000,澤木,さわき,sawaki
1001,桝本,ますもと,masumoto
1002,水元,みずもと,mizumoto
1003,具志堅,ぐしけん,gushiken
1004,栗田,くりた,kurita
1005,恒川,つねかわ,tsunekawa
1006,市原,いちはら,ichihara
1007,二見,ふたみ,futami
1008,勝野,かつの,katsuno
1009,相良,さがら,sagara
1010,鹿田,しかだ,shikada
1011,信太,しだ,shida
1012,仁木,にき,niki
1013,椿原,つばきはら,tsubakihara
1014,堀端,ほりばた,horibata
1015,関根,せきね,sekine
1016,堀尾,ほりお,horio
1017,大村,おおむら,oomura
1018,小宮山,こみやま,komiyama
1019,伊田,いだ,ida
1020,谷田,たにだ,tanida
1021,長島,ながしま,nagashima
1022,鴨川,かもがわ,kamogawa
1023,臼田,うすだ,usuda
1024,藤平,ふじひら,fujihira
1025,朝倉,あさくら,asakura
1026,岡元,おかもと,okamoto
1027,長妻,ながつま,nagatsuma
1028,大舘,おおだて,oodate
1029,佐山,さやま,sayama
1030,鶴井,つるい,tsurui
1031,板持,いたもち,itamochi
1032,森井,もりい,morii
1033,杉野,すぎの,sugino
1034,高松,たかまつ,takamatsu
1035,岡村,おかむら,okamura
1036,馬淵,まぶち,mabuchi
1037,大本,おおもと,oomoto
1038,江村,えむら,emura
1039,竹尾,たけお,takeo
1040,安村,やすむら,yasumura
1041,越水,こしみず,koshimizu
1042,丹治,たんじ,tanji
1043,能瀬,のせ,nose
1044,西原,にしはら,nishihara
1045,森永,もりなが,morinaga
1046,風間,かざま,kazama
1047,古藤,ことう,kotou
1048,中澤,なかざわ,nakazawa
1049,桐生,きりゅう,kiryuu
1050,今永,いまなが,imanaga
1051,山岡,やまおか,yamaoka
1052,穴見,あなみ,anami
1053,浦山,うらやま,urayama
1054,岡島,おかじま,okajima
1055,緒方,おがた,ogata
1056,前平,まえひら,maehira
1057,竹本,たけもと,takemoto
1058,安野,やすの,yasuno
1059,末次,すえつぐ,suetsugu
1060,籔,やぶ,yabu
1061,山形,やまがた,yamagata
1062,立花,たちばな,tachibana
1063,大澤,おおさわ,oosawa
1064,岩竹,いわたけ,iwatake
1065,玉城,たまき,tamaki
1066,越川,こしかわ,koshikawa
1067,鴫原,しぎはら,shigihara
1068,矢加部,やかべ,yakabe
1069,武藤,むとう,mutou
1070,花岡,はなおか,hanaoka
1071,中津,なかつ,nakatsu
1072,村尾,むらお,murao
1073,溝内,みぞうち,mizouchi
1074,助川,すけがわ,sukegawa
1075,佐武,さたけ,satake
1076,乾,いぬい,inui
1077,安倍,あべ,abe
1078,沖村,おきむら,okimura
1079,波部,はべ,habe
1080,松木,まつき,matsuki
1081,後田,うしろだ,ushiroda
1082,半澤,はんざわ,hanzawa
1083,長坂,ながさか,nagasaka
1084,別所,べっしょ,bessho
1085,泉,いずみ,izumi
1086,増井,ますい,masui
1087,大矢,おおや,ooya
1088,河村,かわむら,kawamura
1089,國井,くにい,kunii
1090,国分,こくぶ,kokubu
1091,江良,えら,era
1092,長嶋,ながしま,nagashima
1093,白幡,しらはた,shirahata
1094,金森,かなもり,kanamori
1095,山北,やまきた,yamakita
1096,安部,あべ,abe
1097,中森,なかもり,nakamori
1098,赤澤,あかざわ,akazawa
1099,蔦,つた,tsuta
1100,岡内,おかうち,okauchi
1101,石崎,いしざき,ishizaki
1102,小野原,おのはら,onohara
1103,長澤,ながさわ,nagasawa
1104,竹之内,たけのうち,takenouchi
1105,岩切,いわきり,iwakiri
1106,水口,みずぐち,mizuguchi
1107,笠置,かさぎ,kasagi
1108,川名,かわな,kawana
1109,越田,こしだ,koshida
1110,安永,やすなが,yasunaga
1111,内村,うちむら,uchimura
1112,崎元,さきもと,sakimoto
1113,桑野,くわの,kuwano
1114,河原林,かわらばやし,kawarabayashi
1115,今若,いまわか,imawaka
1116,藤丸,ふじまる,fujimaru
1117,北野,きたの,kitano
1118,岩城,いわき,iwaki
1119,成宮,なるみや,narumiya
1120,児島,こじま,kojima
1121,是枝,これえだ,koreeda
1122,植田,うえだ,ueda
1123,吉住,よしずみ,yoshizumi
1124,富澤,とみざわ,tomizawa
1125,猪俣,いのまた,inomata
1126,葛谷,くずや,kuzuya
1127,濱村,はまむら,hamamura
1128,浅井,あさい,asai
1129,北岡,きたおか,kitaoka
1130,日野,ひの,hino
1131,當山,とうやま,touyama
1132,中馬,ちゅうま,chuuma
1133,田口,たぐち,taguchi
1134,紺谷,こんたに,kontani
1135,児玉,こだま,kodama
1136,大田,おおた,oota
1137,西澤,にしざわ,nishizawa
1138,仲,なか,naka
1139,倉橋,くらはし,kurahashi
1140,深見,ふかみ,fukami
1141,小田,おだ,oda
1142,秋本,あきもと,akimoto
1143,塩出,しおで,shiode
1144,村居,むらい,murai
1145,菅井,すがい,sugai
1146,布施,ふせ,fuse
1147,上澤,うえさわ,uesawa
1148,桐村,きりむら,kirimura
1149,明石,あかし,akashi
1150,田谷,たや,taya
1151,羽賀,はが,haga
1152,玉川,たまがわ,tamagawa
1153,船水,ふなみず,funamizu
1154,西野,にしの,nishino
1155,新島,にいじま,niijima
1156,赤木,あかぎ,akagi
1157,横田,よこた,yokota
1158,本多,ほんだ,honda
1159,日笠,ひかさ,hikasa
1160,笹山,ささやま,sasayama
1161,花,はな,hana
1162,直井,なおい,naoi
1163,倉澤,くらさわ,kurasawa
1164,森内,もりうち,moriuchi
1165,柘植,つげ,tsuge
1166,浅岡,あさおか,asaoka
1167,堀田,ほった,hotta
1168,河辺,かわべ,kawabe
1169,田島,たじま,tajima
1170,落合,おちあい,ochiai
1171,天羽,あもう,amou
1172,大迫,おおさこ,oosako
1173,小柏,おがしわ,ogashiwa
1174,外園,ほかぞの,hokazono
1175,馬場,ばば,baba
1176,柏原,かしわばら,kashiwabara
1177,迫,さこ,sako
1178,生田,いくた,ikuta
1179,蜂谷,はちや,hachiya
1180,永岡,ながおか,nagaoka
1181,瀬戸,せと,seto
1182,麻生,あそう,asou
1183,二瓶,にへい,nihei
1184,山寺,やまでら,yamadera
1185,岡山,おかやま,okayama
1186,西江,にしえ,nishie
1187,船山,ふなやま,funayama
1188,深尾,ふかお,fukao
1189,熊野,くまの,kumano
1190,有元,ありもと,arimoto
1191,小峰,こみね,komine
1192,立野,たての,tateno
1193,柳谷,やなぎや,yanagiya
1194,盛永,もりなが,morinaga
1195,本村,もとむら,motomura
1196,平澤,ひらさわ,hirasawa
1197,水島,みずしま,mizushima
1198,有吉,ありよし,ariyoshi
1199,渥美,あつみ,atsumi
1200,真木,まき,maki
1201,河原,かわはら,kawahara
1202,鳥山,とりやま,toriyama
1203,建石,たていし,tateishi
1204,坪田,つぼた,tsubota
1205,粟野,あわの,awano
1206,北出,きたで,kitade
1207,増原,ますはら,masuhara
1208,増澤,ますざわ,masuzawa
1209,芦田,あしだ,ashida
1210,春山,はるやま,haruyama
1211,岸上,きしがみ,kishigami
1212,内,うち,uchi
1213,坂上,さかがみ,sakagami
1214,高川,たかがわ,takagawa
1215,藤谷,ふじたに,fujitani
1216,尾澤,おざわ,ozawa
1217,鵜沼,うぬま,unuma
1218,間瀬,ませ,mase
1219,都丸,とまる,tomaru
1220,礒野,いその,isono
1221,岩花,いわはな,iwahana
1222,猪又,いのまた,inomata
1223,松崎,まつざき,matsuzaki
1224,丸尾,まるお,maruo
1225,高吉,たかよし,takayoshi
1226,瀬戸山,せとやま,setoyama
1227,井元,いもと,imoto
1228,久松,ひさまつ,hisamatsu
1229,八幡,やはた,yahata
1230,芳野,よしの,yoshino
1231,腰塚,こしずか,koshizuka
1232,中堀,なかほり,nakahori
1233,梅田,うめだ,umeda
1234,左,ひだり,hidari
1235,家田,いえだ,ieda
1236,長屋,ながや,nagaya
1237,板屋,いたや,itaya
1238,大阪,おおさか,oosaka
1239,高村,たかむら,takamura
1240,寺井,てらい,terai
1241,寺下,てらした,terashita
1242,嶋村,しまむら,shimamura
1243,仲宗根,なかそね,nakasone
1244,徳山,とくやま,tokuyama
1245,寺尾,てらお,terao
1246,綾部,あやべ,ayabe
1247,半谷,はんがい,hangai
1248,赤岩,あかいわ,akaiwa
1249,仲田,なかた,nakata
1250,奥野,おくの,okuno
1251,矢内,やない,yanai
1252,蔭山,かげやま,kageyama
1253,鉄本,てつもと,tetsumoto
1254,稲垣,いながき,inagaki
1255,箕輪,みのわ,minowa
1256,桑江,くわえ,kuwae
1257,宿利,しゅくり,shukuri
1258,佐瀬,させ,sase
1259,藤根,ふじね,fujine
1260,衣川,きぬがわ,kinugawa
1261,竹澤,たけざわ,takezawa
1262,米良,めら,mera
1263,若菜,わかな,wakana
1264,岩屋,いわや,iwaya
1265,米田,よねだ,yoneda
1266,今林,いまばやし,imabayashi
1267,篠塚,しのづか,shinozuka
1268,出町,でまち,demachi
1269,木之下,きのした,kinoshita
1270,神山,かみやま,kamiyama
1271,金,きむ,kimu
1272,益田,ますだ,masuda
1273,米山,よねやま,yoneyama
1274,宮城,みやぎ,miyagi
1275,横井,よこい,yokoi
1276,浦,うら,ura
1277,岩島,いわしま,iwashima
1278,杉森,すぎもり,sugimori
1279,津金,つがね,tsugane
1280,上条,かみじょう,kamijou
1281,浦崎,うらさき,urasaki
1282,仲里,なかざと,nakazato
1283,三登,みと,mito
1284,小野里,おのざと,onozato
1285,今西,いまにし,imanishi
1286,小笹,おざさ,ozasa
1287,西平,にしひら,nishihira
1288,石,いし,ishi
1289,橋詰,はしづめ,hashizume
1290,芦澤,あしざわ,ashizawa
1291,杉尾,すぎお,sugio
1292,森岡,もりおか,morioka
1293,永島,ながしま,nagashima
1294,相澤,あいざわ,aizawa
1295,近森,ちかもり,chikamori
1296,近松,ちかまつ,chikamatsu
1297,岡澤,おかざわ,okazawa
1298,永松,ながまつ,nagamatsu
1299,富松,とみまつ,tomimatsu
1300,水内,みずうち,mizuuchi
1301,入口,いりぐち,iriguchi
1302,照屋,てるや,teruya
1303,湯本,ゆもと,yumoto
1304,鈴鹿,すずか,suzuka
1305,米沢,よねざわ,yonezawa
1306,宇都宮,うつのみや,utsunomiya
1307,広田,ひろた,hirota
1308,福岡,ふくおか,fukuoka
1309,柳沼,やぎぬま,yaginuma
1310,金沢,かなざわ,kanazawa
1311,石鍋,いしなべ,ishinabe
1312,海老原,えびはら,ebihara
1313,柳瀬,やなせ,yanase
1314,谷,たに,tani
1315,城井,しろい,shiroi
1316,江尻,えじり,ejiri
1317,門屋,かどや,kadoya
1318,鑓水,やりみず,yarimizu
1319,畑澤,はたざわ,hatazawa
1320,岩渕,いわぶち,iwabuchi
1321,大石,おおいし,ooishi
1322,今尾,いまお,imao
1323,中,なか,naka
1324,笹木,ささき,sasaki
1325,田川,たがわ,tagawa
1326,渡貫,わたぬき,watanuki
1327,鶴谷,つるたに,tsurutani
1328,若杉,わかすぎ,wakasugi
1329,新宅,しんたく,shintaku
1330,田北,たきた,takita
1331,富田,とみた,tomita
1332,柏木,かしわぎ,kashiwagi
1333,櫻澤,さくらざわ,sakurazawa
1334,加納,かのう,kanou
1335,久門,くもん,kumon
1336,徳島,とくしま,tokushima
1337,梅山,うめやま,umeyama
1338,竹脇,たけわき,takewaki
1339,真山,まやま,mayama
1340,國本,くにもと,kunimoto
1341,江川,えがわ,egawa
1342,淺野,あさの,asano
1343,徳光,とくみつ,tokumitsu
1344,又吉,またよし,matayoshi
1345,赤峰,あかみね,akamine
1346,吉越,よしこし,yoshikoshi
1347,立谷,たちや,tachiya
1348,寺内,てらうち,terauchi
1349,池,いけ,ike
1350,木島,きじま,kijima
1351,石飛,いしとび,ishitobi
1352,尾内,おない,onai
1353,種村,たねむら,tanemura
1354,芝,しば,shiba
1355,北口,きたぐち,kitaguchi
1356,前中,まえなか,maenaka
1357,二村,ふたむら,futamura
1358,野末,のずえ,nozue
1359,山浦,やまうら,yamaura
1360,田尻,たじり,tajiri
1361,岩原,いわはら,iwahara
1362,仲西,なかにし,nakanishi
1363,今田,いまだ,imada
1364,中嶋,なかじま,nakajima
1365,田原,たはら,tahara
1366,今中,いまなか,imanaka
1367,有馬,ありま,arima
1368,勝見,かつみ,katsumi
1369,江森,えもり,emori
1370,磯,いそ,iso
1371,肥田,ひだ,hida
1372,鷹取,たかとり,takatori
1373,新田,にった,nitta
1374,古瀬,ふるせ,furuse
1375,小畑,おばた,obata
1376,一戸,いちのへ,ichinohe
1377,新藤,しんどう,shindou
1378,榊原,さかきばら,sakakibara
1379,柳,やなぎ,yanagi
1380,宮岡,みやおか,miyaoka
1381,川嶋,かわしま,kawashima
1382,永富,ながとみ,nagatomi
1383,野辺,のべ,nobe
1384,依田,よだ,yoda
1385,瀧澤,たきざわ,takizawa
1386,安里,あさと,asato
1387,宍戸,ししど,shishido
1388,西井,にしい,nishii
1389,溝田,みぞた,mizota
1390,永岩,ながいわ,nagaiwa
1391,愛甲,あいこう,aikou
1392,小平,こだいら,kodaira
1393,岩佐,いわさ,iwasa
1394,日比,ひび,hibi
1395,四元,よつもと,yotsumoto
1396,川田,かわた,kawata
1397,塩,しお,shio
1398,河端,かわばた,kawabata
1399,長安,ながやす,nagayasu
1400,高井,たかい,takai
1401,豊川,とよかわ,toyokawa
1402,高城,たかぎ,takagi
1403,廣澤,ひろさわ,hirosawa
1404,山森,やまもり,yamamori
1405,小玉,こだま,kodama
1406,下薗,しもぞの,shimozono
1407,石岡,いしおか,ishioka
1408,草間,くさま,kusama
1409,古家,ふるや,furuya
1410,熊崎,くまざき,kumazaki
1411,林原,はやしばら,hayashibara
1412,橋村,はしむら,hashimura
1413,櫻木,さくらぎ,sakuragi
1414,永山,ながやま,nagayama
1415,黒部,くろべ,kurobe
1416,土居,どい,doi
1417,薮野,やぶの,yabuno
1418,森高,もりたか,moritaka
1419,宇土,うと,uto
1420,栗本,くりもと,kurimoto
1421,小早川,こばやかわ,kobayakawa
1422,徳富,とくとみ,tokutomi
1423,柳下,やぎした,yagishita
1424,川北,かわきた,kawakita
1425,滝川,たきがわ,takigawa
1426,福嶋,ふくしま,fukushima
1427,岩垂,いわだれ,iwadare
1428,人見,ひとみ,hitomi
1429,曽我,そが,soga
1430,住吉,すみよし,sumiyoshi
1431,数野,かずの,kazuno
1432,紺野,こんの,konno
1433,引田,ひきた,hikita
1434,五嶋,ごとう,gotou
1435,上垣,うえがき,uegaki
1436,喜島,きじま,kijima
1437,糸井,いとい,itoi
1438,峯村,みねむら,minemura
1439,阪口,さかぐち,sakaguchi
1440,阪田,さかた,sakata
1441,石山,いしやま,ishiyama
1442,小田切,おだぎり,odagiri
1443,鳴海,なるみ,narumi
1444,須田,すだ,suda
1445,大嶋,おおしま,ooshima
1446,勝木,かつき,katsuki
1447,植村,うえむら,uemura
1448,寺村,てらむら,teramura
1449,花山,はなやま,hanayama
1450,桜井,さくらい,sakurai
1451,柳井,やない,yanai
1452,長友,ながとも,nagatomo
1453,小清水,こしみず,koshimizu
1454,板野,いたの,itano
1455,矢追,やおい,yaoi
1456,野坂,のさか,nosaka
1457,檜垣,ひがき,higaki
1458,海老根,えびね,ebine
1459,玉木,たまき,tamaki
1460,倉林,くらばやし,kurabayashi
1461,中脇,なかわき,nakawaki
1462,宇佐美,うさみ,usami
1463,今成,いまなり,imanari
1464,赤尾,あかお,akao
1465,池松,いけまつ,ikematsu
1466,巣山,すやま,suyama
1467,北原,きたはら,kitahara
1468,若宮,わかみや,wakamiya
1469,横尾,よこお,yokoo
1470,下村,しもむら,shimomura
1471,冨川,とみかわ,tomikawa
1472,宇賀神,うがじん,ugajin
1473,菱沼,ひしぬま,hishinuma
1474,松波,まつなみ,matsunami
1475,大隅,おおすみ,oosumi
1476,佐古田,さこだ,sakoda
1477,満留,みつどめ,mitsudome
1478,柴,しば,shiba
1479,椿,つばき,tsubaki
1480,淀,よど,yodo
1481,池西,いけにし,ikenishi
1482,小市,こいち,koichi
1483,市村,いちむら,ichimura
1484,吉原,よしはら,yoshihara
1485,森重,もりしげ,morishige
1486,喜瀬,きせ,kise
1487,中辻,なかつじ,nakatsuji
1488,丸橋,まるはし,maruhashi
1489,水崎,みずさき,mizusaki
1490,高尾,たかお,takao
1491,植野,うえの,ueno
1492,濱川,はまかわ,hamakawa
1493,米澤,よねざわ,yonezawa
1494,武元,たけもと,takemoto
1495,中原,なかはら,nakahara
1496,西谷,にしたに,nishitani
1497,潮田,うしおだ,ushioda
1498,吉武,よしたけ,yoshitake
1499,亀崎,かめざき,kamezaki
1500,舛田,ますだ,masuda
1501,久枝,ひさえだ,hisaeda
1502,会田,あいだ,aida
1503,境,さかい,sakai
1504,上森,うえもり,uemori
1505,斉木,さいき,saiki
1506,柿原,かきはら,kakihara
1507,児嶋,こじま,kojima
1508,森居,もりい,morii
1509,土門,どもん,domon
1510,葛西,かさい,kasai
1511,古江,ふるえ,furue
1512,加登,かと,kato
1513,櫛引,くしびき,kushibiki
1514,渋川,しぶかわ,shibukawa
1515,藤戸,ふじと,fujito
1516,外山,とやま,toyama
1517,山路,やまじ,yamaji
1518,堀籠,ほりごめ,horigome
1519,宮原,みやはら,miyahara
1520,牧志,まきし,makishi
1521,澤野,さわの,sawano
1522,柳田,やなぎだ,yanagida
1523,梶川,かじかわ,kajikawa
1524,南雲,なぐも,nagumo
1525,高谷,たかや,takaya
1526,大町,おおまち,oomachi
1527,飛松,とびまつ,tobimatsu
1528,勝又,かつまた,katsumata
1529,白崎,しらさき,shirasaki
1530,早藤,はやふじ,hayafuji
1531,作田,さくた,sakuta
1532,対馬,つしま,tsushima
1533,友重,ともしげ,tomoshige
1534,市之瀬,いちのせ,ichinose
1535,早崎,はやさき,hayasaki
1536,浜岡,はまおか,hamaoka
1537,赤星,あかほし,akahoshi
1538,長沼,ながぬま,naganuma
1539,飯村,いいむら,iimura
1540,吾郷,あごう,agou
1541,秀島,ひでしま,hideshima
1542,安川,やすかわ,yasukawa
1543,福崎,ふくざき,fukuzaki
1544,福元,ふくもと,fukumoto
1545,五明,ごみょう,gomyou
1546,矢口,やぐち,yaguchi
1547,溝口,みぞぐち,mizoguchi
1548,滝口,たきぐち,takiguchi
1549,彦坂,ひこさか,hikosaka
1550,島川,しまかわ,shimakawa
1551,大畑,おおはた,oohata
1552,中本,なかもと,nakamoto
1553,石澤,いしざわ,ishizawa
1554,新間,しんま,shinma
1555,三国,みくに,mikuni
1556,鍵和田,かぎわだ,kagiwada
1557,弓削,ゆげ,yuge
1558,池畑,いけはた,ikehata
1559,安岡,やすおか,yasuoka
1560,三谷,みたに,mitani
1561,利光,としみつ,toshimitsu
1562,島袋,しまぶくろ,shimabukuro
1563,下畑,しもはた,shimohata
1564,大河原,おおかわら,ookawara
1565,栗林,くりばやし,kuribayashi
1566,名和,なわ,nawa
1567,檜山,ひやま,hiyama
1568,横谷,よこたに,yokotani
1569,管,かん,kan
1570,廣島,ひろしま,hiroshima
1571,田頭,たがしら,tagashira
1572,高嶋,たかしま,takashima
1573,滝沢,たきざわ,takizawa
1574,藤橋,ふじはし,fujihashi
1575,加地,かじ,kaji
1576,池亀,いけがめ,ikegame
1577,茂野,しげの,shigeno
1578,臼倉,うすくら,usukura
1579,高久,たかく,takaku
1580,関谷,せきや,sekiya
1581,栗栖,くりす,kurisu
1582,蒔田,まきた,makita
1583,寺原,てらはら,terahara
1584,萩野,はぎの,hagino
1585,楠元,くすもと,kusumoto
1586,谷地,やち,yachi
1587,関野,せきの,sekino
1588,樺澤,かばさわ,kabasawa
1589,代田,しろた,shirota
1590,三尾,みお,mio
1591,大滝,おおたき,ootaki
1592,高内,たかうち,takauchi
1593,瀬戸口,せとぐち,setoguchi
1594,石塚,いしづか,ishizuka
1595,赤塚,あかつか,akatsuka
1596,藤瀬,ふじせ,fujise
1597,菅沼,すがぬま,suganuma
1598,辻村,つじむら,tsujimura
1599,四ノ宮,しのみや,shinomiya
1600,友永,ともなが,tomonaga
1601,福冨,ふくとみ,fukutomi
1602,安本,やすもと,yasumoto
1603,山手,やまて,yamate
1604,粂,くめ,kume
1605,田宮,たみや,tamiya
1606,上川,かみかわ,kamikawa
1607,谷原,たにはら,tanihara
1608,山室,やまむろ,yamamuro
1609,槇野,まきの,makino
1610,原崎,はらさき,harasaki
1611,北本,きたもと,kitamoto
1612,荻本,おぎもと,ogimoto
1613,武部,たけべ,takebe
1614,田森,たもり,tamori
1615,江頭,えがしら,egashira
1616,竹口,たけぐち,takeguchi
1617,寺崎,てらさき,terasaki
1618,米原,よねはら,yonehara
1619,瀬田,せた,seta
1620,磯村,いそむら,isomura
1621,根木,ねぎ,negi
1622,飯干,いいぼし,iiboshi
1623,若竹,わかたけ,wakatake
1624,寺谷,てらたに,teratani
1625,末松,すえまつ,suematsu
1626,多久和,たくわ,takuwa
1627,松平,まつだいら,matsudaira
1628,小宮,こみや,komiya
1629,勝部,かつべ,katsube
1630,崎原,さきはら,sakihara
1631,岩井,いわい,iwai
1632,井熊,いくま,ikuma
1633,塚田,つかだ,tsukada
1634,霜越,しもこし,shimokoshi
1635,牛島,うしじま,ushijima
1636,嘉村,かむら,kamura
1637,平手,ひらて,hirate
1638,錦戸,にしきど,nishikido
1639,石野,いしの,ishino
1640,南條,なんじょう,nanjou
1641,國光,くにみつ,kunimitsu
1642,宇梶,うかじ,ukaji
1643,松澤,まつざわ,matsuzawa
1644,深沢,ふかさわ,fukasawa
1645,七尾,ななお,nanao
1646,老田,おいだ,oida
1647,儀間,ぎま,gima
1648,五藤,ごとう,gotou
1649,今枝,いまえだ,imaeda
1650,間渕,まぶち,mabuchi
1651,辰己,たつみ,tatsumi
1652,江波戸,えばと,ebato
1653,中瀬,なかせ,nakase
1654,楳木,うめき,umeki
1655,鷲野,わしの,washino
1656,奈良,なら,nara
1657,藤下,ふじした,fujishita
1658,柴谷,しばたに,shibatani
1659,元木,もとき,motoki
1660,戸高,とだか,todaka
1661,安原,やすはら,yasuhara
1662,田端,たばた,tabata
1663,奥,おく,oku
1664,濱島,はましま,hamashima
1665,星川,ほしかわ,hoshikawa
1666,坂倉,さかくら,sakakura
1667,芝田,しばた,shibata
1668,野路,のじ,noji
1669,牛山,うしやま,ushiyama
1670,因幡,いなば,inaba
1671,宇佐見,うさみ,usami
1672,冨士,ふじ,fuji
1673,春日井,かすがい,kasugai
1674,宇都,うと,uto
1675,小田川,おだがわ,odagawa
1676,石津,いしづ,ishizu
1677,奈良岡,ならおか,naraoka
1678,木戸,きど,kido
1679,花村,はなむら,hanamura
1680,横溝,よこみぞ,yokomizo
1681,林部,はやしべ,hayashibe
1682,藤澤,ふじさわ,fujisawa
1683,今泉,いまいずみ,imaizumi
1684,松倉,まつくら,matsukura
1685,新城,しんじょう,shinjou
1686,塙,はなわ,hanawa
1687,堀池,ほりいけ,horiike
1688,小河,おがわ,ogawa
1689,各務,かがみ,kagami
1690,飯澤,いいざわ,iizawa
1691,七條,しちじょう,shichijou
1692,得田,とくだ,tokuda
1693,横塚,よこつか,yokotsuka
1694,大窪,おおくぼ,ookubo
1695,増渕,ますぶち,masubuchi
1696,古谷野,こやの,koyano
1697,西林,にしばやし,nishibayashi
1698,北沢,きたざわ,kitazawa
1699,東浦,ひがしうら,higashiura
1700,大崎,おおさき,oosaki
1701,家村,いえむら,iemura
1702,紀,きの,kino
1703,荒野,あらの,arano
1704,柳沢,やなぎさわ,yanagisawa
1705,濱本,はまもと,hamamoto
1706,芝崎,しばさき,shibasaki
1707,辻井,つじい,tsujii
1708,荻堂,おぎどう,ogidou
1709,家永,いえなが,ienaga
1710,鳥飼,とりかい,torikai
1711,蓮沼,はすぬま,hasunuma
1712,広末,ひろすえ,hirosue
1713,米光,よねみつ,yonemitsu
1714,粉川,こかわ,kokawa
1715,辰巳,たつみ,tatsumi
1716,大堀,おおほり,oohori
1717,下浦,しもうら,shimoura
1718,相山,あいやま,aiyama
1719,栄,さかえ,sakae
1720,津坂,つさか,tsusaka
1721,湯川,ゆかわ,yukawa
1722,見田,みた,mita
1723,松沢,まつざわ,matsuzawa
1724,安島,あじま,ajima
1725,長戸,ながと,nagato
1726,植木,うえき,ueki
1727,大浜,おおはま,oohama
1728,眞野,まの,mano
1729,牧,まき,maki
1730,竹野,たけの,takeno
1731,小柴,こしば,koshiba
1732,岸田,きしだ,kishida
1733,阿形,あがた,agata
1734,黒瀬,くろせ,kurose
1735,辻本,つじもと,tsujimoto
1736,宇留野,うるの,uruno
1737,岸野,きしの,kishino
1738,木川,きがわ,kigawa
1739,初見,はつみ,hatsumi
1740,赤沼,あかぬま,akanuma
1741,西郷,さいごう,saigou
1742,峯岸,みねぎし,minegishi
1743,青井,あおい,aoi
1744,玉野,たまの,tamano
1745,盛島,もりしま,morishima
1746,竹花,たけはな,takehana
1747,長倉,ながくら,nagakura
1748,茶谷,ちゃたに,chatani
1749,屋代,やしろ,yashiro
1750,中林,なかばやし,nakabayashi
1751,久家,くげ,kuge
1752,石見,いわみ,iwami
1753,洲崎,すざき,suzaki
1754,豊増,とよます,toyomasu
1755,真鍋,まなべ,manabe
1756,宮間,みやま,miyama
